Size,Sale Price,Retail Price,Date/Time
13,"1,500.00",350,2023-02-17 00:08:00
13,"2,000.00",350,2023-02-17 00:57:00
9,"1,363.00",350,2023-02-17 03:26:00
5,"1,100.00",350,2023-02-17 07:56:00
9,"1,843.00",350,2023-02-17 09:21:00
11,"1,785.00",350,2023-02-17 09:47:00
9,"1,490.00",350,2023-02-17 10:59:00
5,"1,000.00",350,2023-02-17 11:57:00
4,501.00,350,2023-02-17 12:01:00
11,"1,785.00",350,2023-02-17 12:49:00
13,"1,000.00",350,2023-02-17 13:17:00
11,"1,200.00",350,2023-02-17 14:05:00
13,"1,000.00",350,2023-02-17 14:58:00
9,"1,201.00",350,2023-02-17 15:14:00
5,"1,000.00",350,2023-02-17 15:16:00
12,"1,300.00",350,2023-02-17 15:53:00
11,901.00,350,2023-02-17 16:33:00
13,900.00,350,2023-02-17 16:42:00
8,"1,788.00",350,2023-02-17 21:06:00
11,774.00,350,2023-02-17 23:45:00
12,"1,206.00",350,2023-02-17 23:54:00
9,"1,152.00",350,2023-02-17 23:58:00
9,"1,150.00",350,2023-02-18 00:02:00
9,"1,100.00",350,2023-02-18 00:07:00
11,905.00,350,2023-02-18 00:23:00
12,"1,300.00",350,2023-02-18 00:26:00
10,950.00,350,2023-02-18 00:40:00
12,"1,500.00",350,2023-02-18 01:05:00
9,870.00,350,2023-02-18 02:13:00
8,"1,005.00",350,2023-02-18 03:04:00
13,"1,250.00",350,2023-02-18 03:23:00
12,"1,310.00",350,2023-02-18 03:56:00
10,"1,050.00",350,2023-02-18 04:06:00
9,"1,198.00",350,2023-02-18 04:38:00
7,"1,024.00",350,2023-02-18 07:24:00
12,"1,230.00",350,2023-02-18 08:01:00
11,"1,000.00",350,2023-02-18 09:01:00
10,811.00,350,2023-02-18 09:17:00
11,"1,010.00",350,2023-02-18 09:32:00
12,"1,205.00",350,2023-02-18 09:42:00
11,949.00,350,2023-02-18 09:46:00
7,"1,016.00",350,2023-02-18 11:13:00
9,"1,100.00",350,2023-02-18 11:57:00
11,"1,000.00",350,2023-02-18 12:53:00
10,"1,050.00",350,2023-02-18 13:51:00
11,"1,035.00",350,2023-02-18 14:36:00
10,810.00,350,2023-02-18 14:49:00
12,"1,150.00",350,2023-02-18 16:15:00
10,920.00,350,2023-02-18 16:19:00
12,967.00,350,2023-02-18 16:21:00
