Size,Sale Price,Retail Price,Date/Time
7.0,"1,662.00",190,2023-02-05 21:33:00
14.0,"1,752.00",190,2023-02-06 12:50:00
13.0,"2,365.00",190,2023-02-06 14:10:00
7.5,"1,790.00",190,2023-02-06 16:15:00
9.5,"1,910.00",190,2023-02-06 16:55:00
9.5,"1,939.00",190,2023-02-06 18:33:00
11.5,"2,351.00",190,2023-02-07 11:57:00
11.0,"2,000.00",190,2023-02-07 12:38:00
10.0,"1,850.00",190,2023-02-07 23:23:00
10.0,"1,828.00",190,2023-02-08 07:28:00
9.0,"1,860.00",190,2023-02-08 11:51:00
10.5,"2,179.00",190,2023-02-08 15:49:00
8.5,"2,409.00",190,2023-02-09 05:14:00
8.0,"1,777.00",190,2023-02-11 16:41:00
6.0,"1,700.00",190,2023-02-11 18:47:00
10.0,"1,720.00",190,2023-02-12 00:26:00
10.0,"1,692.00",190,2023-02-12 21:24:00
13.0,"2,350.00",190,2023-02-13 08:16:00
11.0,"2,000.00",190,2023-02-14 11:24:00
11.0,"2,049.00",190,2023-02-15 18:04:00
6.5,"2,363.00",190,2023-02-16 05:45:00
12.0,"1,700.00",190,2023-02-16 11:12:00
12.0,"1,900.00",190,2023-02-17 22:04:00
11.0,"2,128.00",190,2023-02-18 02:08:00
10.0,"1,966.00",190,2023-02-18 04:16:00
11.0,"1,900.00",190,2023-02-18 11:52:00
14.0,"2,270.00",190,2023-02-19 17:17:00
8.0,"1,550.00",190,2023-02-19 22:04:00
5.0,"2,332.00",190,2023-02-20 07:16:00
11.0,"2,050.00",190,2023-02-20 08:40:00
11.5,"1,992.00",190,2023-02-20 11:09:00
12.0,"2,000.00",190,2023-02-20 23:50:00
10.5,"1,900.00",190,2023-02-21 08:49:00
10.0,"2,084.00",190,2023-02-21 12:10:00
12.0,"2,100.00",190,2023-02-22 14:29:00
10.0,"2,101.00",190,2023-02-22 19:33:00
10.5,"1,850.00",190,2023-02-22 20:11:00
5.0,"1,876.00",190,2023-02-23 11:08:00
9.5,"1,999.00",190,2023-02-24 14:49:00
10.5,"1,999.00",190,2023-02-24 16:46:00
12.0,"2,100.00",190,2023-02-24 17:01:00
7.5,"1,605.00",190,2023-02-24 18:53:00
11.0,"1,825.00",190,2023-02-25 10:46:00
14.0,"2,000.00",190,2023-02-25 18:50:00
8.0,"1,780.00",190,2023-02-25 21:54:00
8.5,"2,011.00",190,2023-02-27 04:40:00
12.0,"2,173.00",190,2023-02-28 03:49:00
10.0,"1,781.00",190,2023-02-28 10:58:00
11.5,"1,750.00",190,2023-02-28 16:02:00
10.0,"1,983.00",190,2023-02-28 16:21:00
