Size,Sale Price,Retail Price,Date/Time
10.5,195.0,200,2023-02-08 17:38:00
11.0,219.0,200,2023-02-09 00:39:00
6.5,362.0,200,2023-02-09 08:26:00
7.5,297.0,200,2023-02-09 11:03:00
12.0,274.0,200,2023-02-09 16:49:00
9.0,231.0,200,2023-02-10 02:08:00
10.5,205.0,200,2023-02-10 03:41:00
10.5,210.0,200,2023-02-10 18:54:00
11.5,260.0,200,2023-02-11 01:09:00
7.0,241.0,200,2023-02-11 01:24:00
6.5,240.0,200,2023-02-11 07:53:00
10.0,220.0,200,2023-02-11 10:14:00
11.0,200.0,200,2023-02-11 14:53:00
10.0,203.0,200,2023-02-11 16:21:00
9.0,215.0,200,2023-02-11 18:26:00
13.0,275.0,200,2023-02-11 20:05:00
9.0,318.0,200,2023-02-12 04:43:00
10.5,188.0,200,2023-02-12 17:01:00
9.0,323.0,200,2023-02-13 08:15:00
6.5,265.0,200,2023-02-13 08:33:00
10.0,305.0,200,2023-02-13 10:30:00
5.0,299.0,200,2023-02-13 12:48:00
11.5,269.0,200,2023-02-14 19:22:00
9.5,235.0,200,2023-02-15 11:19:00
10.5,200.0,200,2023-02-15 13:49:00
9.5,298.0,200,2023-02-15 13:58:00
10.5,209.0,200,2023-02-15 14:02:00
13.0,302.0,200,2023-02-16 01:22:00
11.0,201.0,200,2023-02-16 12:25:00
9.5,197.0,200,2023-02-17 00:36:00
7.0,270.0,200,2023-02-17 06:22:00
9.5,214.0,200,2023-02-17 07:54:00
10.5,210.0,200,2023-02-17 10:19:00
8.5,240.0,200,2023-02-17 10:46:00
9.0,215.0,200,2023-02-17 13:01:00
10.0,201.0,200,2023-02-17 14:58:00
10.5,199.0,200,2023-02-17 14:58:00
10.5,195.0,200,2023-02-17 16:56:00
9.5,279.0,200,2023-02-17 19:32:00
9.0,234.0,200,2023-02-17 20:08:00
6.0,347.0,200,2023-02-17 23:08:00
12.0,275.0,200,2023-02-17 23:32:00
10.5,219.0,200,2023-02-18 01:18:00
9.5,215.0,200,2023-02-18 01:20:00
5.5,300.0,200,2023-02-18 04:51:00
10.0,217.0,200,2023-02-18 09:46:00
9.5,211.0,200,2023-02-18 10:23:00
10.0,200.0,200,2023-02-18 11:45:00
11.5,265.0,200,2023-02-18 14:04:00
10.5,210.0,200,2023-02-18 14:55:00
