,stockX,flightClub,goat,shoeName,brand,silhoutte,make,colorway,retailPrice,thumbnail,releaseDate,description
0,221,249.0,249.0,Jordan 4 Retro SE Craft Photon Dust,Nike,Jordan 4 Retro SE,Jordan 4 Retro SE,Photon Dust/Pale Vanilla/Off White/Grey Fog/Flat Pewter/Sail,210.0,https://images.stockx.com/images/Air-Jordan-4-Retro-SE-Craft-Photon-Dust-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1675766632,2023-02-11,Tinker Hatfield’s legacy 1989 model is modernized with new details in the Air Jordan 4 Retro SE ‘Craft.’ Light grey leather forms the base of the upper with color-matched suede appearing on the forefoot overlay and collar. The signature plastic netting that originally appeared on the quarter panel has been replaced with grids of suede accented by support wings constructed from cracked leather. The molded eyelets and tongue and heel Jumpman branding appear in a Pale Vanilla hue. A PU midsole in off-white features an exposed Air-sole unit in the heel for optimal comfort and support underfoot.
1,133,122.0,122.0,Nike Dunk Low Retro PRM Valentine's Day (2023),Nike,Nike Dunk Low Retro PRM,Nike Dunk Low Retro PRM,Pale Ivory/Medium Soft Pink-Night Maroon,120.0,https://images.stockx.com/images/Nike-Dunk-Low-Valentines-Day-2023-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1675275005,2023-02-07,"Celebrate the most romantic day on the calendar with the Nike Dunk Low Premium ‘Valentine’s Day.’ The iconic basketball shoe gets a fresh update with a color combo that pays homage to February 14th. The premium all-leather upper boasts a rich burgundy base and off-white overlays, complemented by delicate pink accents on the Swoosh, tongue tag and heel tab. Comfort and durability are supplied with soft cushioning of the sturdy rubber cupsole, finished with vintage off-white sidewalls and the outsole in bold maroon."
2,266,257.0,257.0,Jordan 4 Retro Seafoam (W),Nike,Jordan 4 Retro,Jordan 4 Retro,White/Seafoam/Dark Ash/Neutral Grey,210.0,https://images.stockx.com/images/Air-Jordan-4-Retro-Oil-Green-W-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1675516633,2023-02-09,"The Women's Air Jordan 4 Retro 'Seafoam' seamlessly blends vintage looks with modern updates. With its retro-inspired color scheme recalling the 1989 ‘Fire Red’ release, this shoe boasts a smooth white leather upper accented with eye-catching Oil Green detailing on the interior lining, eyelets and tongue and heel tab Jumpman branding. The iconic quarter panel netting and support wings remain intact, adding to the shoe's nostalgic appeal. The classic silhouette is supported by a durable PU midsole, with an exposed Air-sole unit in the heel and a pop of green at the forefoot."
3,97,99.0,99.0,NikeCraft General Purpose Shoe Tom Sachs Field Brown,Nike,NikeCraft General Purpose Shoe,NikeCraft General Purpose Shoe,Pecan/Dark Field Brown-Dark Field Brown,110.0,https://images.stockx.com/images/NikeCraft-General-Purpose-Shoe-Tom-Sachs-Brown-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1675794281,2023-02-07,"The Tom Sachs x Nike women’s NikeCraft General Purpose Shoe ‘Brown’ is a minimalist low-top delivered in a neutral colorway. The upper appears in a monochrome palette of brown mesh with overlays in suede intersected by a screen-printed Swoosh. Cushioned comfort and easy on-and-off are provided by a microfiber-lined collar and two webbing pull tabs. Underfoot, a traditional cupsole with three pieces combines with sidewalls in dark brown rubber, an EVA wedge and a waffled-patterned tread rubber outsole in black."
4,131,132.0,133.0,Nike Dunk Low Essential Paisley Pack Pink (W),Nike,Nike Dunk Low Essential,Nike Dunk Low Essential,White/Pearl Pink-Medium Soft Pink,110.0,https://images.stockx.com/images/Nike-Dunk-Low-Essential-Paisley-Pack-Pink-W.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1670268156,2023-02-07,
5,278,255.0,255.0,Jordan 1 Retro High 85 Black White (2023),Nike,Jordan 1 Retro High 85,Jordan 1 Retro High 85,White/Black-White,200.0,https://images.stockx.com/images/Air-Jordan-1-Retro-High-85-Black-White-2023-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1675762190,2023-02-15,"Duplicating the signature design and colorway of the 1985 original is the Air Jordan 1 Retro High '85 OG 'Black White' also known as 'Panda.' The upper appears in black and white leather, with the midsole and rubber outsole in matching hues. The signature Swoosh and Wings logo alternate between black and white complemented by a black-and-white Nike Air tongue tag."
6,419,,,MCM Reversible Liz Shopper Visetos Medium Cognac,MCM,MCM Reversible Liz Shopper,MCM Reversible Liz Shopper,Cognac,650.0,https://images.stockx.com/images/MCM-Reversible-Liz-Shopper-Visetos-Medium-Cognac.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&trimcolor=ffffff&q=90&dpr=2&updated_at=1610562201,,
7,350,,,Stussy 8 Ball Beach Shell Jacket Grayscale,Stussy,Stussy 8 Ball Beach Shell,Stussy 8 Ball Beach Shell,Grayscale,,https://images.stockx.com/images/Stussy-8-Ball-Beach-Shell-Jacket-Grayscale.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1675445758,,
8,458,,,Goyard Saint Sulpice Green,Goyard,Goyard Saint Sulpice,Goyard Saint Sulpice,Green,475.0,https://images.stockx.com/images/Goyard-Saint-Sulpice-Green-V.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&trimcolor=ffffff&q=90&dpr=2&updated_at=1637165610,,"The Goyard Saint Sulpice Card Case Chevron Green is available in a couple of materials, including calfskin and canvas. 
<br> 
<br> 
The Goyard Saint Sulpice Card Case Chevron Green has a height dimension of 2.7, a width of 4.1, and a Depth of 0.07. The interior of the Goyard Saint Sulpice Card Case Chevron Green is of uniform color, whereas the outer side has encrypted patterns. Also, the Goyard Logo is encrypted on the top outer part of the case.
<br> 
<br> 
The Goyard Saint Sulpice Card Case Chevron Green was retailing at $475 when it first debuted in the market on the 6th of May, 2019."
9,192,,180.0,Casablanca Memphis Icon T-shirt White,Casablanca,Casablanca Memphis Icon,Casablanca Memphis Icon,White,155.0,https://images.stockx.com/images/Casablanca-Memphis-Icon-T-shirt-White.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1651641895,,
10,305,,,Louis Vuitton Key Pouch Monogram Eclipse Reverse,Louis Vuitton,Louis Vuitton Key Pouch,Louis Vuitton Key Pouch,Eclipse Reverse,325.0,https://images.stockx.com/images/Louis-Vuitton-Key-Pouch-Monogram-Eclipse-Reverse.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&trimcolor=ffffff&q=90&dpr=2&updated_at=1673045397,,"Louis Vuitton Key Pouch Monogram Eclipse Reverse, Style Number M80905. This product released for 325 USD, made from Coated Canvas and accompanied with Silver-tone Hardware. <br><br>Please Note: Dust bag and box are not required for this accessory."
11,308,,,Ami Paris Ami De Coeur Tonal Hoodie Aqua,Ami Paris,Ami Paris Ami De Coeur Tonal,Ami Paris Ami De Coeur Tonal,Aqua,475.0,https://images.stockx.com/images/Ami-Paris-Ami-De-Coeur-Tonal-Hoodie-Aqua.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1653649521,,
12,254,,410.0,CDG Play Red Heart Knit Cardigan Sweater Black,CDG Play,CDG Play Red Heart Knit Cardigan,CDG Play Red Heart Knit Cardigan,Black,412.0,https://images.stockx.com/images/Comme-des-Garcons-PLAY-Red-Heart-Knit-Cardigan-Sweater-Black.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1646801867,,"Comme des Garcons PLAY apparel has a smaller fit, we recommend ordering one size up from your usual size."
